,Tckr,date,Year_x,fillingDate,Top5FinDatatype,period_x
0,A,2019-01,2019.0,3/5/2019,ROE,Q1
1,A,2006-01,2006.0,3/9/2006,RevqrtrGr,Q1
2,A,2019-01,2019.0,3/5/2019,EPSyrGr,Q1
3,A,2005-10,2005.0,1/17/2006,GPMper,Q4
4,A,2015-07,2015.0,9/2/2015 0:00,EPSyrGr,Q3
5,A,2006-07,2006.0,9/6/2006,EPSyrGr,Q3
6,A,2006-01,2006.0,3/9/2006,ROE,Q1
7,A,2006-01,2006.0,3/9/2006,EPSyrGr,Q1
8,A,2004-07,2004.0,9/2/2004 0:00,EPSyrGr,Q3
9,A,2003-07,2003.0,9/9/2003 0:00,EPSyrGr,Q3
10,A,2019-04,2019.0,5/30/2019,RevyrGr,Q2
11,A,2017-01,2017.0,3/8/2017 0:00,RevyrGr,Q1
12,A,2007-01,2007.0,3/9/2007,RevyrGr,Q1
13,A,2006-01,2006.0,3/9/2006,RevyrGr,Q1
14,A,2005-10,2005.0,1/17/2006,RevyrGr,Q4
15,A,2006-01,2006.0,3/9/2006,NPM,Q1
16,A,2007-01,2007.0,3/9/2007,RevqrtrGr,Q1
17,A,2019-01,2019.0,3/5/2019,NPM,Q1
18,A,2006-01,2006.0,3/9/2006,EPSqrtrGr,Q1
19,AA,2017-06,2017.0,8/3/2017 0:00,RevyrGr,Q2
20,AA,2019-06,2019.0,7/31/2019,EPSyrGr,Q2
21,AACG,2008-06,2008.0,6/30/2008,RevqrtrGr,Q2
22,AACG,2019-12,2019.0,3/31/2020 0:00,EPSyrGr,Q4
23,AAL,2014-12,2014.0,2/25/2015,DER,Q4
24,AAL,2005-12,2005.0,2/24/2006,ROE,Q4
25,AAL,2016-06,2016.0,7/22/2016,DER,Q2
26,AAL,2011-12,2011.0,2/15/2012,RevyrGr,Q4
27,AAL,2014-06,2014.0,7/24/2014,DER,Q2
28,AAL,2005-09,2005.0,9/30/2005,ROE,Q3
29,AAL,2015-06,2015.0,7/24/2015,DER,Q2
30,AAL,2013-12,2013.0,2/28/2014,ROE,Q4
31,AAL,2017-12,2017.0,2/21/2018,DER,Q4
32,AAL,2019-09,2019.0,10/24/2019,DER,Q3
33,AAL,2007-06,2007.0,7/24/2007 0:00,DER,Q2
34,AAL,2007-06,2007.0,7/24/2007 0:00,EPSyrGr,Q2
35,AAL,2007-06,2007.0,7/24/2007 0:00,ROE,Q2
36,AAL,2008-06,2008.0,7/17/2008,DER,Q2
37,AAL,2020-09,2020.0,10/22/2020,ROE,Q3
38,AAL,2010-06,2010.0,7/21/2010,RevyrGr,Q2
39,AAL,2007-09,2007.0,10/18/2007 0:00,EPSyrGr,Q3
40,AAL,2020-03,2020.0,4/30/2020,ROE,Q1
41,AAL,2017-09,2017.0,10/26/2017,DER,Q3
42,AAL,2019-09,2019.0,10/24/2019,ROE,Q3
43,AAL,2007-09,2007.0,10/18/2007 0:00,ROE,Q3
44,AAL,2020-06,2020.0,7/23/2020,RevyrGr,Q2
45,AAL,2015-06,2015.0,7/24/2015,ROE,Q2
